[2023-04-28 11:27:29.371][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5218375374625375 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:29.513][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4654210372960373 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:29.663][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<67,61>
[2023-04-28 11:27:29.668][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:67, matched size:1
[2023-04-28 11:27:29.900][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6560085747585748 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:30.059][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6048118548118548 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:30.165][218814][info][APAPProjectThread.cpp:Run:382] process pair<67,61> finished.
[2023-04-28 11:27:30.189][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5350961538461538 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:30.326][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5091928904428904 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:30.478][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.4800470362970363 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:30.633][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<73,67>
[2023-04-28 11:27:30.638][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:73, matched size:1
[2023-04-28 11:27:30.964][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6409527972027972 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:31.191][218814][info][APAPProjectThread.cpp:Run:382] process pair<73,67> finished.
[2023-04-28 11:27:31.260][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6427218614718615 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:31.397][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5644241175491176 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:31.526][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.541587579087579 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:31.657][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5176458957708958 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:31.670][218812][debug][GetImageThread.cpp:PushData:147] Load 10 images, time elapsed:0.08792s
[2023-04-28 11:27:31.804][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:218] Add  pair<79,73>
[2023-04-28 11:27:31.808][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:79, matched size:1
[2023-04-28 11:27:31.979][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.6445231851481852 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:32.136][218814][info][APAPProjectThread.cpp:Run:382] process pair<79,73> finished.
